id,slug,name,flavor,profile,reward_range,scene,image_prompt,image_filename,image_done
1,museum,The Museum Gala,"A black-tie charity gala at the city's biggest art museum. The Renaissance wing is being feted with a one-night exhibition, and the centerpiece is a diamond on loan from a Saudi prince. The vault is state-of-the-art, and the gala is packed with guests, photographers, and event security. Blending in is the whole challenge — and prying the stone out from behind that vault wall is the other half.",Electronic Medium | Physical Hard | Confrontation Low | Social Hard,$1.5M – $4M,"A grand museum hall at night, marble floors and tall columns in stark cross-hatching. Centered: a single illuminated pedestal under glass holding a brilliant-cut diamond, its facets the brightest white in frame. Tuxedoed silhouettes and a uniformed guard blur at the edges; a chandelier drops hard pools of light. Opulent and tense — the gem is the obvious prize and the obvious trap.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A grand museum hall at night, marble floors and tall columns in stark cross-hatching. Centered: a single illuminated pedestal under glass holding a brilliant-cut diamond, its facets the brightest white in frame. Tuxedoed silhouettes and a uniformed guard blur at the edges; a chandelier drops hard pools of light. Opulent and tense — the gem is the obvious prize and the obvious trap.",loc01_museum,FALSE
2,armored_car,The Armored Car,"A weekly cash transfer between bank branches. Two armed guards ride in the cab and one more in back, and the truck itself is a moving vault. There are no cameras and no witnesses on the right stretch of road — if you pick the spot well. The guards are trained, armed, and expecting trouble, so whoever takes them had better be ready to bring it.",Electronic Low | Physical Medium | Confrontation Hard | Social None,$800K – $2M,"A boxy armored truck stopped on an empty road, drawn heavy and slab-sided at a three-quarter front angle. Reinforced rivets, a slot of a windshield, and a thick rear door dominate the frame. Long shadows and a bare roadside in harsh cross-hatch — no crowd, no glamour. The vehicle reads as a moving vault: brute, blunt, and waiting.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A boxy armored truck stopped on an empty road, drawn heavy and slab-sided at a three-quarter front angle. Reinforced rivets, a slot of a windshield, and a thick rear door dominate the frame. Long shadows and a bare roadside in harsh cross-hatch — no crowd, no glamour. The vehicle reads as a moving vault: brute, blunt, and waiting.",loc02_armored_car,FALSE
3,server_farm,The Corporate Server Farm,"A pharmaceutical company's research server room, where the target is a formula worth a fortune to the right buyer. The building is layered with electronic security: biometric locks, face recognition, and network intrusion detection. The server room itself sits behind a serious physical lock, with two guards working the perimeter. Getting in is a hacker's problem; getting out clean is everyone's.",Electronic Hard | Physical Medium | Confrontation Low | Social Medium,$3M – $8M,"A cold corridor of server racks receding into darkness, indicator LEDs rendered as rows of stark black dots. In the foreground a heavy security door with a biometric panel glows under a single hard light. Cabling loops overhead; the cross-hatching is clinical and tight. Sterile, layered, electronic — the threat here is unseen, not physical.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A cold corridor of server racks receding into darkness, indicator LEDs rendered as rows of stark black dots. In the foreground a heavy security door with a biometric panel glows under a single hard light. Cabling loops overhead; the cross-hatching is clinical and tight. Sterile, layered, electronic — the threat here is unseen, not physical.",loc03_server_farm,FALSE
4,penthouse,The Penthouse Caper,"A tech billionaire's penthouse, empty for the week while the owner is overseas. Inside: cash, watches, and a wall of art insured for more than most people make in a lifetime. There are no guards to fight and no crowd to charm — just a smart lock, a building full of cameras, and the quiet problem of getting in and back out without anyone knowing you were there. This one rewards a light touch, not a heavy hand.",Electronic Medium | Physical Medium | Confrontation None | Social Low,$400K – $1.2M,"A high-floor luxury living room at night, floor-to-ceiling windows opening onto a cross-hatched city skyline. Sparse, expensive furniture and a single framed canvas catch the brightest light. No people; a small smart-home panel glows by the door. Quiet, empty, pristine — the danger is the silence you have to keep.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A high-floor luxury living room at night, floor-to-ceiling windows opening onto a cross-hatched city skyline. Sparse, expensive furniture and a single framed canvas catch the brightest light. No people; a small smart-home panel glows by the door. Quiet, empty, pristine — the danger is the silence you have to keep.",loc04_penthouse,FALSE
5,cargo_yard,The Cargo Yard,"A working freight yard at the edge of the docks, acres of stacked steel containers under sodium lights. One of them holds smuggled goods worth millions — authenticated icons, if the manifest is honest, which it rarely is. The fences and locks are nothing special, but the container is heavy, buried in the stack, and the two night watchmen do real rounds. This is a job of muscle, machinery, and timing, with nobody to talk your way past.",Electronic Low | Physical Hard | Confrontation Medium | Social None,$1.2M – $3M,"A nighttime freight yard, walls of stacked shipping containers in heavy parallel hatching, a gantry crane looming above. A single container is picked out by a harsh overhead lamp, its doors the focal point. Puddled ground and a distant watchman's flashlight as a stark white dot. Industrial, heavy, exposed — all steel and no cover.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A nighttime freight yard, walls of stacked shipping containers in heavy parallel hatching, a gantry crane looming above. A single container is picked out by a harsh overhead lamp, its doors the focal point. Puddled ground and a distant watchman's flashlight as a stark white dot. Industrial, heavy, exposed — all steel and no cover.",loc05_cargo_yard,FALSE
6,diplomatic_reception,The Diplomatic Reception,"A farewell reception at a foreign embassy, all tuxedos, translators, and trays of champagne. On display under glass is a historic diamond the departing ambassador is taking home. The hard part isn't the lock — it's the room: every guest is somebody, every server is watched, and a wrong word in the wrong ear ends the night in a holding cell. You don't break into this one; you get invited, and you behave until you don't.",Electronic Low | Physical Medium | Confrontation Low | Social Hard,$1.5M – $4M,"An ornate embassy salon, flags and crown molding in fine cross-hatch, a crowd of formalwear silhouettes filling the room. Center frame: a small glass case on a draped table holding a historic diamond, lit hard and bright. A tuxedoed figure with an earpiece stands watchfully near it. Elegant and crowded — every eye in the room is a hazard.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
An ornate embassy salon, flags and crown molding in fine cross-hatch, a crowd of formalwear silhouettes filling the room. Center frame: a small glass case on a draped table holding a historic diamond, lit hard and bright. A tuxedoed figure with an earpiece stands watchfully near it. Elegant and crowded — every eye in the room is a hazard.",loc06_diplomatic_reception,FALSE
7,casino_vault,The Casino Vault,"The count room beneath a major casino, where a working night's cash is stacked and waiting for the armored pickup. Every layer of the place is the best money can buy — cameras that never blink, biometric doors, and a floor that never sleeps. Reaching the vault means beating the electronics, the locks, and the muscle all at once, with a casino's whole security apparatus a button-press away. This is the score a crew retires on, or the one they vanish over.",Electronic Hard | Physical Hard | Confrontation Medium | Social Medium,$5M – $12M,"A subterranean count room beneath a casino, banded stacks of cash on steel tables under flat fluorescent hatching. A massive round vault door dominates one wall, its dial and bolts the sharpest detail in frame. A wall of camera domes rendered as black half-circles watches from above. Locked-down and lavish — the biggest prize behind the hardest shell.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A subterranean count room beneath a casino, banded stacks of cash on steel tables under flat fluorescent hatching. A massive round vault door dominates one wall, its dial and bolts the sharpest detail in frame. A wall of camera domes rendered as black half-circles watches from above. Locked-down and lavish — the biggest prize behind the hardest shell.",loc07_casino_vault,FALSE
16,jewelers_row,The Jewelers' Row,"A block of family jewelry shops shares one tired alarm contractor and one night watchman who treats his rounds like a stroll. Pick the right three display cases and you walk before the coffee's cold — no crowd, no vault, just glass, time, and a steady hand.",Electronic Medium | Physical Medium | Confrontation Low | Social None,$650K – $1.6M,"A narrow city block of shuttered jewelry storefronts at night, plate-glass windows in tight cross-hatch. One display case glows under a security light, rings and stones catching the brightest white. A watchman's flashlight is a small stark dot down the row. Quiet, monied, and one careless step from glass everywhere.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A narrow city block of shuttered jewelry storefronts at night, plate-glass windows in tight cross-hatch. One display case glows under a security light, rings and stones catching the brightest white. A watchman's flashlight is a small stark dot down the row. Quiet, monied, and one careless step from glass everywhere.",loc16_jewelers_row,FALSE
17,boutique_hotel_safe,The Boutique Hotel Safe,"A discreet luxury hotel keeps a guest valuables room behind the front desk, stuffed with watches and cash from clients who'd never file a report. The night manager is the only obstacle, and he scares easy.",Electronic Low | Physical Medium | Confrontation None | Social Medium,$600K – $1.6M,"A hushed luxury hotel lobby after midnight, marble desk and brass fittings in fine hatching. Behind the front desk, an open valuables room reveals a wall of small locked drawers, one ajar with watches inside. A single lamp pools hard light; the room is empty but for the prize.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A hushed luxury hotel lobby after midnight, marble desk and brass fittings in fine hatching. Behind the front desk, an open valuables room reveals a wall of small locked drawers, one ajar with watches inside. A single lamp pools hard light; the room is empty but for the prize.",loc17_boutique_hotel_safe,FALSE
18,riverside_data_center,Riverside Data Center,A mid-tier colocation facility hosts a crypto exchange's cold-wallet keys on an air-gapped machine. The badge readers are off-the-shelf and the lone tech spends his shift watching highlights. Get the hacker to the right rack.,Electronic Medium | Physical Low | Confrontation None | Social Low,$700K – $1.6M,"A low windowless facility by a dark river, server-rack silhouettes glimpsed through a door. A badge reader glows beside a steel entry; coolant pipes run overhead in stark parallel lines. Cold, anonymous, electronic — the value is invisible and the building gives nothing away.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A low windowless facility by a dark river, server-rack silhouettes glimpsed through a door. A badge reader glows beside a steel entry; coolant pipes run overhead in stark parallel lines. Cold, anonymous, electronic — the value is invisible and the building gives nothing away.",loc18_riverside_data_center,FALSE
19,suburban_card_room,The Suburban Card Room,"An unlicensed high-stakes poker game runs out of a McMansion basement, and the buy-ins live in a duffel by the bar. The muscle at the door is for show; the players are lawyers and dentists who won't shoot. Read the room and lift the bag.",Electronic None | Physical Low | Confrontation Medium | Social Medium,$600K – $1.4M,"A finished basement game room, a green-felt poker table under a low hanging lamp in heavy cross-hatch. A duffel bag of banded cash sits half-open by the bar; scattered chips catch the light. Smoke-haze shading and an empty doorway — intimate, illicit, and watchful.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A finished basement game room, a green-felt poker table under a low hanging lamp in heavy cross-hatch. A duffel bag of banded cash sits half-open by the bar; scattered chips catch the light. Smoke-haze shading and an empty doorway — intimate, illicit, and watchful.",loc19_suburban_card_room,FALSE
20,estate_auction,The Estate Auction,"A deceased collector's estate goes to auction, and the most valuable lot is quietly mispriced in the catalog. Bid honest, then walk out with the real piece and leave a convincing fake on the block. Charm, paperwork, and nerve.",Electronic Low | Physical Low | Confrontation None | Social Medium,$700K – $1.6M,"A genteel auction room, rows of empty chairs and a raised podium in fine hatching. On a draped easel, a single framed painting is lit hard and bright, the obvious lot. Catalog stacks and a velvet rope frame the scene. Refined and quiet — the swindle hides in plain catalog ink.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A genteel auction room, rows of empty chairs and a raised podium in fine hatching. On a draped easel, a single framed painting is lit hard and bright, the obvious lot. Catalog stacks and a velvet rope frame the scene. Refined and quiet — the swindle hides in plain catalog ink.",loc20_estate_auction,FALSE
21,loading_dock,The Loading Dock,"A big-box distribution dock signs for a pallet of new flagship phones every Tuesday at dawn. The forklift driver is the only soul awake, and the manifest is signed before it's checked. Be the crew in the high-vis vests.",Electronic None | Physical Medium | Confrontation Low | Social Medium,$650K – $1.5M,"A cavernous distribution warehouse dock at dawn, a roll-up bay door open to darkness. A shrink-wrapped pallet of boxed electronics sits center-frame under a harsh work lamp, a forklift looming in hatched shadow. High-vis emptiness — all logistics, no glamour.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A cavernous distribution warehouse dock at dawn, a roll-up bay door open to darkness. A shrink-wrapped pallet of boxed electronics sits center-frame under a harsh work lamp, a forklift looming in hatched shadow. High-vis emptiness — all logistics, no glamour.",loc21_loading_dock,FALSE
22,pawn_kings_backroom,The Pawn King's Backroom,"A neighborhood pawn empire launders far more than it lends, and the real money sleeps in a backroom safe behind the bulletproof glass. The owner is old, mean, and home alone after close. Quiet hands beat loud ones here.",Electronic Low | Physical Medium | Confrontation Medium | Social None,$600K – $1.5M,"A cluttered pawnshop after close, shelves of guitars and tools in dense cross-hatch behind bulletproof glass. A back-room door stands open on a squat old safe lit by a single bulb. Mean, cramped, and lived-in — the money sleeps behind the junk.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A cluttered pawnshop after close, shelves of guitars and tools in dense cross-hatch behind bulletproof glass. A back-room door stands open on a squat old safe lit by a single bulb. Mean, cramped, and lived-in — the money sleeps behind the junk.",loc22_pawn_kings_backroom,FALSE
23,campus_lab,The Campus Lab,"A university spinout keeps a prototype battery cell in a teaching lab with a code lock a freshman could guess. Grad students drift in at odd hours, but nobody questions another lab coat. In, swap, out.",Electronic Medium | Physical Low | Confrontation None | Social Low,$600K – $1.6M,"A university teaching lab at night, benches of glassware and a fume hood in clinical hatching. A small prototype device glows on a stand under a desk lamp, the focal point. A propped fire door leaks light from the hall. Sterile and sleepy — hide in the lab coats.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A university teaching lab at night, benches of glassware and a fume hood in clinical hatching. A small prototype device glows on a stand under a desk lamp, the focal point. A propped fire door leaks light from the hall. Sterile and sleepy — hide in the lab coats.",loc23_campus_lab,FALSE
24,wine_cellar,The Wine Cellar,"A restaurateur's private cellar holds a few cases of legendary vintage worth more than the building. The climate locks are finicky and the sommelier is loyal, but the alley door is an afterthought. Cool hands, careful crates.",Electronic Low | Physical Medium | Confrontation None | Social Low,$650K – $1.4M,"A vaulted brick wine cellar, racks of bottles receding in heavy parallel hatching. A climate panel glows by an iron door; one rare magnum is spotlit on a tasting table. Cool, dim, and close — every bottle a fortune you must not crack.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A vaulted brick wine cellar, racks of bottles receding in heavy parallel hatching. A climate panel glows by an iron door; one rare magnum is spotlit on a tasting table. Cool, dim, and close — every bottle a fortune you must not crack.",loc24_wine_cellar,FALSE
25,film_set_vault,The Film Set Vault,"A heist movie shoots overnight with real period jewelry on loan for the close-ups, locked in a prop trailer between takes. The set is chaos, the guards are extras, and a crew with the right lanyards is invisible. Steal the real thing in plain sight.",Electronic Low | Physical Low | Confrontation None | Social Medium,$700K – $1.6M,"A chaotic overnight film set, tangled cables and standing lights in stark hatch around a prop trailer. The trailer door is cracked on a small lit case of period jewelry, the real thing among fakes. Crew silhouettes blur at the edges. Loud, lit, and hidden in the noise.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A chaotic overnight film set, tangled cables and standing lights in stark hatch around a prop trailer. The trailer door is cracked on a small lit case of period jewelry, the real thing among fakes. Crew silhouettes blur at the edges. Loud, lit, and hidden in the noise.",loc25_film_set_vault,FALSE
